id,kategori,soru,cevap
1,Öğrenci,Erasmus nedir?,"Erasmus, Avrupa’daki üniversiteler arasında öğrenci ve personel değişimini sağlayan bir programdır."
2,Öğrenci,Erasmus başvuru şartları nelerdir?,"Başvuru şartları üniversiteden üniversiteye değişir, genellikle belli bir akademik başarı ve dil yeterliliği gereklidir."
3,Öğrenci,Erasmus hibesinden kimler yararlanabilir?,"Tüm Erasmus öğrencileri, belirlenen bütçe dahilinde hibe alabilir. Ek hibe özel durumlara bağlıdır."
4,Öğrenci,Erasmus süresi ne kadar?,Erasmus öğrencilik süresi genellikle 3–12 ay arası değişir.
5,Öğrenci,Erasmus için hangi belgeler gerekir?,"Başvuru formu, transkript, dil sertifikası ve motivasyon mektubu gereklidir."
6,Öğrenci,Erasmus başvurusu ne zaman yapılır?,"Genellikle bir akademik yıl öncesinden başvurular alınır, üniversitenizin duyurularını takip edin."
7,Öğrenci,Erasmus hibesinin miktarı nedir?,"Hibe miktarı gidilecek ülkeye ve üniversiteye göre değişir, ortalama aylık 300-500 Euro civarındadır."
8,Öğrenci,Erasmus sırasında konaklama nasıl sağlanır?,"Öğrenci genellikle yurtta kalır veya özel daire kiralayabilir, üniversite destek sağlar."
9,Öğrenci,Erasmus için dil yeterliliği gerekir mi?,"Evet, gidilecek ülkeye göre İngilizce veya yerel dil yeterliliği gerekebilir."
10,Öğrenci,Erasmus başvurusu reddedilirse ne olur?,Reddedilen öğrenciler bir sonraki dönem başvurabilir veya üniversite içi alternatif programlara yönlendirilebilir.
